URL,Last crawled
https://currentadda.vercel.app/quiz/2026-02-11,2026-03-30
https://currentadda.vercel.app/quiz/indiabix-2026-02-11,2026-03-27
https://currentadda.vercel.app/categories/Important Days,2026-03-18
https://currentadda.vercel.app/categories/Sports,2026-03-15
https://currentadda.vercel.app/categories/State,2026-03-15
https://currentadda.vercel.app/categories/National,2026-03-15
https://currentadda.vercel.app/quiz/indiabix-2026-03-06,2026-03-08
https://currentadda.vercel.app/quiz/2026-03-05,2026-03-08
https://currentadda.vercel.app/quiz/2026-03-07,2026-03-08
https://currentadda.vercel.app/quiz/indiabix-2026-03-02,2026-03-08
https://currentadda.vercel.app/quiz/indiabix-2026-03-03,2026-03-08
https://currentadda.vercel.app/quiz/indiabix-2026-03-05,2026-03-08
https://currentadda.vercel.app/quiz/2026-03-06,2026-03-08
https://currentadda.vercel.app/quiz/indiabix-2026-03-04,2026-03-08
https://currentadda.vercel.app/quiz/2026-02-22,2026-02-28
https://currentadda.vercel.app/quiz/2026-02-24,2026-02-28
https://currentadda.vercel.app/quiz/2026-02-25,2026-02-28
https://currentadda.vercel.app/quiz/2026-02-27,2026-02-28
https://currentadda.vercel.app/quiz/indiabix-2026-02-24,2026-02-28
https://currentadda.vercel.app/quiz/2026-02-26,2026-02-28
https://currentadda.vercel.app/quiz/2026-02-28,2026-02-28
https://currentadda.vercel.app/quiz/indiabix-2026-02-25,2026-02-28
https://currentadda.vercel.app/quiz/indiabix-2026-02-26,2026-02-28
https://currentadda.vercel.app/categories/Agriculture,2026-01-15
https://currentadda.vercel.app/categories/Environment,2026-01-15
https://currentadda.vercel.app/categories/Festivity,2026-01-15
https://currentadda.vercel.app/favicon.ico?favicon.0b3bf435.ico,2026-01-15
https://currentadda.vercel.app/manifest.json,2026-01-15
